_id,project_title,start_actual_isodate,donors_iso2,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
855,Capacity Building and Livelihood,,Nepal Youth Foundation,Other social infrastructure and services,Pipeline/identification,-,-,-,-
856,Education Support,,Nepal Youth Foundation,Unspecified,Pipeline/identification,-,-,-,-
857,Counseling and Training,,Nepal Youth Foundation,Other social infrastructure and services,Pipeline/identification,-,-,-,-
858,"Peace Rights and Governance Program, Phase Iv (2014-18)",,Denmark,Unallocated/ unspecified,Pipeline/identification,-,-,-,-
859,SASEC Road Connectivity Project,,Asian Development Bank,Transport and storage,Pipeline/identification,-,-,-,-
860,Reducing risks of sexual abuse and exploitation among at-risk and vulnerable children,2012-07-20T00:00:00,ECPAT Luxembourg Nepal,Other social infrastructure and services,Implementation,2012,2012,-,-
861,Nepal National Armed Police Academy,,China,"Government and civil society, general",Implementation,2013,2013,33698639,""
862,"""Project for Maternal and Child health care in West Terai Region""",2010-10-29T00:00:00,AMDA MINDS Nepal,Health,Implementation,2010,2010,-,-
863,Support to discharge of disqualified maois combattans,,Norway,"Conflict prevention and resolution, peace and security",Implementation,-,-,-,-
864,Nepal Children's Scholarship Endowment Program,2013-01-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2013,2013,-,-
865,Protection of Children in Brick Kiln,2011-11-01T00:00:00,Save the Children,Other social infrastructure and services,Implementation,2011,2011,-,-
866,Tackling HRH Crisis in Nepal through Informed Policy Decisions and Actions,2011-01-01T00:00:00,Save the Children,Health,Implementation,2011,2011,-,-
867,Saving newborn lives 3: Bending the curve Accelerating progress in Newborn Survival and Health,,Save the Children,Other social infrastructure and services,Implementation,-,-,-,-
868,Npl_GHRF_Safe Communities_12-14,2012-01-01T00:00:00,Save the Children,Other social infrastructure and services,Implementation,2012,2012,-,-
869,Youth Save Project,2011-12-31T00:00:00,Save the Children,"Government and civil society, general",Implementation,2011,2011,-,-
870,Livelihood and Nutrition Project,2013-01-01T00:00:00,Save the Children,General budget support,Implementation,2013,2013,-,-
871,NPL SCK Rewrite the Future 2013,2013-01-01T00:00:00,Gaja Youth Club,"Education, level unspecified",Implementation,2013,2013,-,-
872,Food security livelihood and climate change project,2013-08-01T00:00:00,Save the Children,Agriculture,Implementation,2013,2013,-,-
873,Second Phase of Decentralized Rural Infrastructure and Livelihood Project.,2012-02-01T00:00:00,World Food Programme|OPEC Fund for Inernational Development|Swiss Agency for Development and Cooperation|Asian Development Bank,Other,Implementation,2012,2012,-,-
